rainfall_24h,rainfall_7d,elevation,drainage_score,population_density,historical_flood_count,citizen_report_count,risk_score
190.27033068231194,379.7866503979334,15.427378553383955,69.59015931871423,13178.73774976487,7,5,55.6487611598818
116.5532567454515,246.04149750690192,15.71802013214041,58.357310768327224,8160.799840572896,0,2,34.431539151044895
208.89154238050415,108.91079487323289,4.97175542878553,47.92620980594867,20038.692273230867,10,2,67.74526633243889
173.42096639306007,388.15445780881964,17.25789033090783,78.4853801458606,11041.546255251451,7,6,50.08155313679587
40.7190165352829,693.9727024867893,16.844507840364912,71.0882050842719,33937.62741565823,12,5,43.36775077035603
234.6369173600863,497.61228848170447,17.01693868877143,53.72518301232848,4128.101198168931,9,2,68.33096072996747
187.45073443787766,397.1241962423158,3.6295521602515395,84.2588722790955,8582.295607779892,12,7,57.82760044834852
192.93414716092983,150.8429273789543,11.830454533111357,36.55625728294153,11887.227298669657,7,8,62.77203917904012
48.1849991886201,241.55922595173587,10.998772905006053,32.26818865942099,10366.614770982242,0,5,37.1145397359947
119.08490633702478,268.65532772770734,3.9076526401503813,66.28187103201788,11224.909970550729,2,2,51.74313194594851
101.57556533116787,569.47427366863,6.8920944137298354,89.98359267452746,24993.52336195771,7,8,54.73560746129018
223.8882975466924,641.0949102493564,11.701177899556809,37.80247327808746,14480.386506020775,6,2,76.76216417770573
161.6503264177462,657.0507862825206,18.34393881687781,37.97626728323551,23680.780220907945,12,3,63.95430907071367
201.0075549195826,710.1239092804826,7.215365693662591,30.043917053277674,32488.25387668132,6,7,83.4563538427927
117.55112374201285,708.7146771869008,20.254498022748052,81.96057597970152,23281.816496822466,13,4,52.19630142056848
69.99251879265091,689.9194449715081,14.007562286268195,36.30062290961605,26225.049321164206,3,2,58.55823362083718
142.00865314348366,125.966169921846,18.729277074061585,56.228853924191924,15696.105543083433,6,0,42.94486188822773
34.03979634291857,168.1878629937953,12.396231633410856,91.34281841615874,9111.630963926693,12,3,21.987221981839987
202.07885783836807,274.8585769446611,12.982272959288913,20.874144866387137,14258.689998396996,1,6,68.94902786289379
158.96616780685426,433.8548826012553,15.633826566352084,60.066998516777176,34857.044758531454,5,6,68.3969217241453
186.77930281878224,142.06584877150675,22.41535337964813,56.8848110747561,23897.964302500386,12,2,53.58678387001295
97.99571298857104,621.3100529933712,12.819876791084019,78.13621110153113,12880.355821888486,9,1,50.69315440630208
233.55356536687873,474.7239546094778,13.630465838382401,45.58027084779994,18429.288549187324,12,6,70.32707777565162
216.48664669088348,427.11321747341117,15.24393319760565,49.544577840730994,30736.41719779182,8,1,70.08215905541812
191.24436935622762,185.79924695506634,18.225333020549968,32.091534603118184,25390.19426258475,13,0,62.53478257715152
62.82051572743286,242.0835036161263,3.580707380697155,73.33869667777664,21940.890903333384,14,4,46.21251926313602
122.67862081994753,182.59969598864515,13.345123647483385,76.49904146154668,32325.212052282914,15,5,46.25411169568875
29.63682847319033,625.2372209886711,12.595014962532957,29.839759096075777,25518.06631093729,1,2,45.933351120034324
53.943688254860525,453.9058304391796,22.277069653226548,48.32890932715917,24567.351385315054,9,1,42.66719632868744
170.27076971334003,550.4828336125654,12.857144769599504,84.28915966611318,10072.58039074458,1,2,56.236342275420405
183.84767429971976,269.46103226241644,12.303051763275281,20.194923704656674,7404.4378563970495,3,3,66.33400196274138
232.8521411355262,317.6016877364974,23.168399747763445,41.51065308482953,34884.54774583677,4,0,70.05100535310802
91.68157879039343,339.1071772329816,11.912682199219393,59.96304452378344,23163.467843211285,10,0,46.57693442170327
101.50113532767115,566.4095819161823,5.979457467085988,44.05475789551664,17301.86909268573,6,3,58.82864211615154
123.30227848067774,574.3059121117235,6.772154701727343,39.5872536207922,22848.666269126963,13,0,69.08277462857971
61.68369899854285,212.3606576089803,4.094125843413431,53.12269891303131,5977.982754294892,4,2,42.09659398918444
48.582731173803765,682.5848683123834,2.012498843696778,33.06966378389795,30308.072764931418,9,5,61.34912527573074
124.65508376970543,157.2194159639593,11.502804542010603,58.133017349082834,10932.657138058752,12,0,41.70582013654705
69.9200567911945,653.5181327511234,18.92333678856087,70.88210633455226,29745.472202174304,15,5,48.47740456379767
167.35907883015227,144.25321321587796,18.13626174159639,61.42123658925215,21100.11018443554,3,5,49.0036309478448
116.17342215191276,249.3054791368391,2.707279931662704,26.703871821814225,12850.304437020888,11,5,60.82599612672605
203.18920313272423,621.7462630834925,14.539623879068724,80.79742021992126,4966.7183437462545,1,5,62.503093421188545
174.0583224404948,194.87492630149598,5.394228759096472,32.59840429909915,30106.66737045138,8,7,73.1253040059581
88.72066110404903,344.6834760383807,22.703678264823342,75.06646404400126,9646.724527017814,6,0,35.32364509557161
203.09715630694424,367.9099519642408,5.682029992171945,45.960687975861234,5657.76370047595,15,1,63.091698902154576
